ID,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
284,HK Olonga (ZIM),1995-2003,50,49,2059,1977,58,6/19/2025,34.08,5.76,35.5,2,2
285,GC Small (ENG),1987-1992,53,53,2793,1942,58,4/1/1931,33.48,4.17,48.1,1,0
286,Mudassar Bukhari (NL),2007-2014,46,46,2036,1601,57,3/17/2025,28.08,4.71,35.7,0,0
287,MJ Clarke (AUS),2003-2015,245,106,2585,2146,57,5/1/1935,37.64,4.98,45.3,1,1
288,GRJ Matthews (AUS),1984-1993,59,54,2808,2004,57,3/27/2025,35.15,4.28,49.2,0,0
289,DS Mohanty (INDIA),1997-2001,45,44,1996,1662,57,4/1/1956,29.15,4.99,35,1,0
290,T Mupariwa (ZIM),2004-2016,40,40,2019,1690,57,4/1/1939,29.64,5.02,35.4,3,0
291,Arshad Khan (PAK),1993-2006,58,56,2823,1948,56,4/1/1933,34.78,4.14,50.4,1,0
292,R Telemachus (SA),1998-2006,37,37,1918,1565,56,4/1/1943,27.94,4.89,34.2,1,0
293,XJ Doherty (AUS),2010-2015,60,56,2792,2224,55,4/28/2025,40.43,4.77,50.7,3,0
294,AF Giles (ENG),1997-2005,62,57,2856,2069,55,5/1/1957,37.61,4.34,51.9,0,1
295,Tauseef Ahmed (PAK),1982-1990,70,67,3250,2247,55,4/1/1938,40.85,4.14,59,1,0
296,RN ten Doeschate (NL),2006-2011,33,33,1580,1327,55,4/1/1931,24.12,5.03,28.7,3,0
297,JR Thomson (AUS),1975-1985,50,50,2696,1942,55,4/1/1967,35.3,4.32,49,1,0
298,JV Coney (NZ),1979-1987,88,70,2931,2039,54,4/1/1946,37.75,4.17,54.2,1,0
299,N Pradeep (SL),2012-2019,42,40,1996,1998,54,4/1/1931,37,6,36.9,2,0
300,HH Pandya (INDIA),2016-2019,54,53,2368,2195,54,3/31/2025,40.64,5.56,43.8,0,0
301,AR Adams (NZ),2001-2007,42,40,1885,1643,53,5/22/2025,31,5.22,35.5,2,1
302,SR Clark (AUS),2005-2009,39,38,1829,1477,53,4/1/1954,27.86,4.84,34.5,2,0
303,Mohammad Naveed (UAE),2014-2019,39,39,1938,1757,53,5/28/2025,33.15,5.43,36.5,0,1
304,LS Pascoe (AUS),1977-1982,29,28,1568,1066,53,5/30/2025,20.11,4.07,29.5,4,1
305,SMSM Senanayake (SL),2012-2015,49,47,2358,1874,53,4/13/2025,35.35,4.76,44.4,1,0
306,GI Allott (NZ),1997-2000,31,31,1528,1207,52,4/1/1935,23.21,4.73,29.3,4,0
307,NM Coulter-Nile (AUS),2013-2019,32,32,1678,1555,52,4/1/1948,29.9,5.56,32.2,1,0
308,KSC de Silva (SL),1996-2000,38,37,1619,1323,52,3/18/2025,25.44,4.9,31.1,0,0
309,DS Lehmann (AUS),1996-2005,117,62,1793,1445,52,4/7/2025,27.78,4.83,34.4,1,0
310,TM Moody (AUS),1987-1999,76,66,2797,2014,52,3/25/2025,38.73,4.32,53.7,0,0
311,KA Pollard (WI),2007-2019,107,74,2116,2025,52,3/27/2025,38.94,5.74,40.6,0,0
312,DJ Willey (ENG),2015-2019,46,45,1971,1889,52,4/1/1934,36.32,5.75,37.9,2,0
313,A Dananjaya (SL),2012-2019,36,34,1773,1506,51,6/29/2025,29.52,5.09,34.7,2,2
314,VC Drakes (WI),1995-2004,34,34,1640,1293,51,5/1/1933,25.35,4.73,32.1,3,2
315,BJ McCarthy (IRE),2016-2019,27,27,1389,1360,51,5/1/1946,26.66,5.87,27.2,2,1
316,AM Blignaut (ZIM),1999-2010,54,53,2348,2063,50,4/1/1943,41.26,5.27,46.9,2,0
317,GJ Maxwell (AUS),2012-2019,110,86,2698,2525,50,4/1/1946,50.5,5.61,53.9,2,0
318,JA Morkel (Afr/SA),2004-2012,58,52,2073,1899,50,4/29/2025,37.98,5.49,41.4,2,0
319,PM Seelaar (NL),2006-2019,41,41,1901,1476,50,4/15/2025,29.52,4.65,38,1,0
320,T Thushara (SL),2008-2010,38,38,1676,1393,50,5/1/1947,27.86,4.98,33.5,0,1
321,JH Davey (SCOT),2010-2019,31,29,1301,1082,49,6/28/2025,22.08,4.99,26.5,1,2
322,CD McMillan (NZ),1997-2007,197,74,1879,1717,49,3/20/2025,35.04,5.48,38.3,0,0
323,AR Nurse (WI),2016-2019,54,49,2384,2125,49,4/1/1951,43.36,5.34,48.6,2,0
324,JS Patel (NZ),2005-2017,43,42,2014,1691,49,3/11/2025,34.51,5.03,41.1,0,0
325,GR Dilley (ENG),1979-1988,36,36,2043,1291,48,4/23/2025,26.89,3.79,42.5,3,0
326,JK Kamande (KENYA),1999-2011,86,71,2619,2169,48,4/1/1936,45.18,4.96,54.5,1,0
327,S Lee (AUS),1995-2001,45,43,1706,1245,48,5/1/1933,25.93,4.37,35.5,1,1
328,JF Mooney (IRE),2006-2015,64,50,1797,1635,48,4/27/2025,34.06,5.45,37.4,2,0
329,CH Morris (SA),2013-2019,42,40,1894,1756,48,4/1/1931,36.58,5.56,39.4,2,0
330,ARC Fraser (ENG),1989-1999,42,42,2392,1412,47,4/22/2025,30.04,3.54,50.8,1,0
331,Shahadat Hossain (BDESH),2006-2013,51,50,2198,2143,47,3/1/1934,45.59,5.84,46.7,0,0
332,M Amarnath (INDIA),1975-1989,85,64,2730,1971,46,3/12/2025,42.84,4.33,59.3,0,0
333,PW Borren (NL),2006-2014,58,51,1979,1620,46,4/1/1932,35.21,4.91,43,1,0
334,N Chopra (INDIA),1998-2000,39,37,1835,1286,46,5/21/2025,27.95,4.2,39.8,1,1
335,AC Evans (SCOT),2009-2019,36,35,1678,1499,46,4/1/1941,32.58,5.35,36.4,2,0
336,NAM McLean (WI),1996-2003,45,45,2120,1729,46,3/21/2025,37.58,4.89,46,0,0
337,Mirwais Ashraf (AFG),2009-2016,46,45,2009,1360,46,4/1/1935,29.56,4.06,43.6,1,0
338,Mohammad Asif (Asia/PAK),2005-2010,38,36,1941,1524,46,3/28/2025,33.13,4.71,42.1,0,0
339,SB O'Connor (NZ),1997-2000,38,38,1487,1396,46,5/1/1939,30.34,5.63,32.3,1,2
340,Samiullah Shinwari (AFG),2009-2019,84,65,2111,1729,46,4/1/1931,37.58,4.91,45.8,1,0
341,BC Strang (ZIM),1995-2001,49,48,2494,1718,46,6/20/2025,37.34,4.13,54.2,1,1
342,MR Whitney (AUS),1983-1993,38,38,2106,1249,46,4/1/1934,27.15,3.55,45.7,2,0
343,RDB Croft (ENG),1996-2001,50,49,2466,1743,45,3/1/1951,38.73,4.24,54.8,0,0
344,GF Labrooy (SL),1986-1992,44,44,2308,1876,45,5/1/1957,41.68,4.87,51.2,1,1
345,NO Miller (WI),2008-2018,50,46,2125,1660,45,4/1/1943,36.88,4.68,47.2,2,0
346,CM Old (ENG),1973-1981,32,31,1755,999,45,4/8/2025,22.2,3.41,39,2,0
347,H Osinde (CAN),2006-2013,42,41,1692,1389,45,4/26/2025,30.86,4.92,37.6,2,0
348,AR Patel (INDIA),2014-2017,38,35,1908,1409,45,3/1/1934,31.31,4.43,42.4,0,0
349,DN Patel (NZ),1987-1997,75,69,3251,2261,45,3/22/2025,50.24,4.17,72.2,0,0
350,EC Rainsford (ZIM),2004-2010,39,39,1907,1401,45,5/1/1936,31.13,4.4,42.3,1,1
351,Taskin Ahmed (BDESH),2014-2017,32,31,1413,1401,45,5/28/2025,31.13,5.94,31.4,2,1
352,AR Whittall (ZIM),1996-2000,63,62,3085,2251,45,3/23/2025,50.02,4.37,68.5,0,0
353,HS Baidwan (CAN),2008-2014,32,32,1551,1348,44,3/19/2025,30.63,5.21,35.2,0,0
354,SP Davis (AUS),1986-1988,39,39,2016,1133,44,3/10/2025,25.75,3.37,45.8,0,0
355,S Elworthy (SA),1998-2002,39,37,1702,1235,44,3/17/2025,28.06,4.35,38.6,0,0
356,AH Gray (WI),1985-1991,25,24,1270,835,44,6/1/1950,18.97,3.94,28.8,2,1
357,RJ Harris (AUS),2009-2012,21,20,1031,832,44,5/19/2025,18.9,4.84,23.4,0,3
358,VJ Marks (ENG),1980-1988,34,32,1838,1135,44,5/20/2025,25.79,3.7,41.7,0,2
359,MR Marsh (AUS),2011-2018,53,50,1700,1564,44,5/1/1933,35.54,5.52,38.6,1,1
360,Nazmul Hossain (BDESH),2004-2012,38,37,1649,1386,44,4/1/1940,31.5,5.04,37.4,1,0
361,DR Pringle (ENG),1982-1993,44,44,2379,1677,44,4/1/1942,38.11,4.22,54,1,0
362,RP Snell (SA),1991-1996,42,42,2095,1574,44,5/1/1940,35.77,4.5,47.6,2,1
363,DP Viljoen (ZIM),1997-2001,53,46,2075,1639,44,3/20/2025,37.25,4.73,47.1,0,0
364,JC Adams (WI),1992-2001,127,56,1856,1499,43,5/1/1937,34.86,4.84,43.1,0,1
365,CR Brathwaite (WI),2011-2019,44,40,1825,1766,43,5/27/2025,41.06,5.8,42.4,2,1
366,CJ Jordan (ENG),2013-2016,31,31,1532,1521,43,5/29/2025,35.37,5.95,35.6,0,1
367,Shapoor Zadran (AFG),2009-2019,44,44,1983,1589,43,4/24/2025,36.95,4.8,46.1,2,0
368,PR Stirling (IRE),2008-2019,114,73,2392,1902,43,6/1/1955,44.23,4.77,55.6,1,1
369,MA Suji (KENYA),1996-2006,64,64,2952,2190,43,4/24/2025,50.93,4.45,68.6,1,0
370,KLT Arthurton (WI),1988-1999,105,44,1384,1159,42,4/1/1931,27.59,5.02,32.9,3,0
371,AC Botha (IRE),2006-2011,42,33,1560,1134,42,4/19/2025,27,4.36,37.1,2,0
372,JW Hastings (AUS),2010-2017,29,29,1486,1256,42,6/1/1945,29.9,5.07,35.3,1,1
373,Imad Wasim (PAK),2015-2019,53,51,2313,1865,42,5/14/2025,44.4,4.83,55,0,1
374,AR McBrine (IRE),2014-2019,42,40,2045,1489,42,3/1/1938,35.45,4.36,48.6,0,0
375,SA Thomson (NZ),1990-1996,56,51,2121,1602,42,3/14/2025,38.14,4.53,50.5,0,0
376,Aftab Alam (AFG),2010-2019,27,27,1257,1033,41,4/25/2025,25.19,4.93,30.6,1,0
377,JAR Blain (SCOT),1999-2009,33,32,1329,1173,41,5/22/2025,28.6,5.29,32.4,1,1
378,DG Cork (ENG),1992-2002,32,32,1772,1368,41,3/27/2025,33.36,4.63,43.2,0,0
379,CE Cuffy (WI),1994-2002,41,41,2153,1436,41,4/24/2025,35.02,4,52.5,1,0
380,S Dhaniram (CAN),2006-2010,44,41,1769,1240,41,5/1/1932,30.24,4.2,43.1,1,1
381,SM Ervine (ZIM),2001-2004,42,40,1649,1561,41,3/29/2025,38.07,5.67,40.2,0,0
382,HA Gomes (WI),1978-1987,83,36,1345,1045,41,4/1/1931,25.48,4.66,32.8,2,0
383,AF Milne (NZ),2012-2017,40,39,1801,1581,41,3/1/1949,38.56,5.26,43.9,0,0
384,L Ngidi (SA),2018-2019,22,22,1026,947,41,4/1/1951,23.09,5.53,25,2,0
385,VD Philander (SA),2007-2015,30,28,1279,986,41,4/12/2025,24.04,4.62,31.1,2,0
386,Amir Hamza (AFG),2012-2017,31,31,1552,1016,40,4/17/2025,25.4,3.92,38.8,1,0
387,RP Arnold (SL),1997-2007,180,84,2157,1739,40,3/1/1947,43.47,4.83,53.9,0,0
388,RS Bopara (ENG),2007-2015,120,74,1860,1523,40,4/1/1938,38.07,4.91,46.5,1,0
389,Saleem Jaffar (PAK),1986-1990,39,39,1900,1382,40,3/25/2025,34.55,4.36,47.5,0,0
390,Shaheen Shah Afridi (PAK),2018-2019,19,18,924,847,40,6/1/1935,21.17,5.5,23.1,4,1
391,SJ Benn (WI),2008-2016,47,46,2387,1913,39,4/18/2025,49.05,4.8,61.2,3,0
392,PT Collins (WI),1999-2005,30,30,1577,1212,39,5/1/1943,31.07,4.61,40.4,0,1
393,SS Cottrell (WI),2015-2019,30,28,1314,1293,39,5/1/1946,33.15,5.9,33.6,1,1
394,WW Davis (WI),1983-1988,35,35,1923,1302,39,7/1/1951,33.38,4.06,49.3,0,1
395,GD Elliott (NZ),2008-2016,83,56,1302,1179,39,4/1/1931,30.23,5.43,33.3,1,0
396,WK McCallan (IRE),2006-2009,39,35,1804,1208,39,4/30/2025,30.97,4.01,46.2,2,0
397,H Masakadza (ZIM),2001-2019,209,85,1844,1636,39,3/1/1939,41.94,5.32,47.2,0,0
398,TBA May (AUS),1987-1995,47,46,2504,1772,39,3/19/2025,45.43,4.24,64.2,0,0
399,MO Odumbe (KENYA),1996-2003,61,52,2237,1807,39,4/1/1938,46.33,4.84,57.3,1,0
400,IS Sodhi (NZ),2015-2019,31,30,1548,1430,39,4/1/1958,36.66,5.54,39.6,1,0
401,Akram Raza (PAK),1989-1995,49,48,2601,1611,38,3/18/2025,42.39,3.71,68.4,0,0
402,D Bishoo (WI),2011-2019,42,40,2022,1668,38,3/30/2025,43.89,4.94,53.2,0,0
403,MG Hughes (AUS),1988-1993,33,33,1639,1115,38,4/1/1944,29.34,4.08,43.1,1,0
404,AJ Ireland (ZIM),2005-2007,26,26,1326,1115,38,3/1/1941,29.34,5.04,34.8,0,0
405,Nadeem Ahmed (HKG),2004-2018,25,25,1327,932,38,4/26/2025,24.52,4.21,34.9,4,0
406,Rohan Mustafa (UAE),2014-2019,34,33,1583,1245,38,5/25/2025,32.76,4.71,41.6,1,1
407,R Vinay Kumar (INDIA),2010-2013,31,31,1436,1423,38,4/30/2025,37.44,5.94,37.7,1,0
408,TJ Friend (ZIM),2000-2004,51,45,1930,1779,37,4/1/1955,48.08,5.53,52.1,1,0
409,MR Gillespie (NZ),2006-2009,32,31,1521,1369,37,4/1/1958,37,5.4,41.1,1,0
410,EE Hemmings (ENG),1982-1991,33,32,1752,1294,37,4/1/1952,34.97,4.43,47.3,1,0
411,M Kartik (INDIA),2002-2007,37,36,1907,1612,37,6/27/2025,43.56,5.07,51.5,0,1
412,Mehidy Hasan Miraz (BDESH),2017-2019,38,37,1957,1520,37,4/29/2025,41.08,4.66,52.8,1,0
413,KS Williamson (NZ),2010-2019,149,65,1467,1310,37,4/22/2025,35.4,5.35,39.6,1,0
414,HMCM Bandara (SL),2006-2010,31,28,1470,1232,36,4/1/1931,34.22,5.02,40.8,2,0
415,EAE Baptiste (WI),1983-1990,43,43,2214,1511,36,2/10/2025,41.97,4.09,61.5,0,0
416,MG Bevan (AUS),1994-2004,232,67,1966,1655,36,3/1/1936,45.97,5.05,54.6,0,0
417,JM Davison (CAN),2003-2011,32,31,1435,1067,36,3/15/2025,29.63,4.46,39.8,0,0
418,AIC Dodemaide (AUS),1988-1993,24,24,1327,753,36,5/21/2025,20.91,3.4,36.8,1,1
419,SB Doull (NZ),1992-2000,42,42,1745,1459,36,4/25/2025,40.52,5.01,48.4,1,0
420,GA Gooch (ENG),1976-1995,125,60,2066,1516,36,3/19/2025,42.11,4.4,57.3,0,0
421,S Randiv (SL),2009-2016,31,29,1437,1214,36,5/1/1942,33.72,5.06,39.9,0,1
422,Khurram Chohan (CAN),2009-2014,25,24,1186,1029,36,5/1/1968,28.58,5.2,32.9,3,1
423,SK Raina (INDIA),2005-2018,226,101,2126,1811,36,3/1/1934,50.3,5.11,59,0,0
424,I Wardlaw (SCOT),2013-2015,22,21,1108,1036,36,4/22/2025,28.77,5.61,30.7,2,0
425,CJ Chibhabha (ZIM),2005-2018,103,58,1667,1615,35,4/25/2025,46.14,5.81,47.6,1,0
426,M Hendrick (ENG),1973-1981,22,22,1248,681,35,5/31/2025,19.45,3.27,35.6,2,1
427,NC Johnson (ZIM),1998-2000,48,39,1503,1220,35,4/1/1942,34.85,4.87,42.9,1,0
428,Naeem Islam (BDESH),2008-2014,59,48,1743,1407,35,3/1/1932,40.2,4.84,49.8,0,0
429,CO Obuya (KENYA),2001-2014,104,49,1818,1637,35,5/24/2025,46.77,5.4,51.9,0,1
430,MRJ Watt (SCOT),2016-2019,27,27,1443,1033,35,4/1/1942,29.51,4.29,41.2,1,0
431,BA Williams (AUS),2002-2004,25,24,1203,814,35,5/22/2025,23.25,4.05,34.3,1,2
432,KJ Abbott (SA),2013-2016,28,27,1303,1051,34,4/21/2025,30.91,4.83,38.3,2,0
433,L Balaji (INDIA),2002-2009,30,30,1447,1344,34,4/1/1948,39.52,5.57,42.5,1,0
434,TL Best (WI),2004-2014,26,26,1300,1157,34,4/1/1935,34.02,5.34,38.2,2,0
435,PKD Chase (IRE),2015-2018,25,24,1238,1356,34,3/1/1933,39.88,6.57,36.4,0,0
436,OD Gibson (WI),1995-1997,15,15,739,621,34,5/1/1940,18.26,5.04,21.7,2,2
437,VB John (SL),1982-1987,45,45,2311,1655,34,3/28/2025,48.67,4.29,67.9,0,0
438,RDM Leverock (BMUDA),2006-2009,32,32,1684,1123,34,5/1/1953,33.02,4,49.5,0,1
439,RR Powar (INDIA),2004-2007,31,29,1536,1191,34,3/24/2025,35.02,4.65,45.1,0,0
440,JA Rennie (ZIM),1993-2000,44,43,1965,1564,34,3/27/2025,46,4.77,57.7,0,0
441,KW Richardson (AUS),2013-2019,22,22,1143,1061,34,5/1/1968,31.2,5.56,33.6,0,1
442,Tahir Naqqash (PAK),1980-1985,40,37,1596,1240,34,3/23/2025,36.47,4.66,46.9,0,0
443,Usman Shinwari (PAK),2017-2019,17,17,768,633,34,5/1/1934,18.61,4.94,22.5,3,2
444,N Vanua (PNG),2014-2019,23,23,1060,900,34,4/24/2025,26.47,5.09,31.1,4,0
445,KCG Benjamin (WI),1992-1996,26,26,1319,923,33,3/1/1934,27.96,4.19,39.9,0,0
446,U Bhatti (CAN),2006-2010,36,35,1630,1149,33,4/1/1945,34.81,4.22,49.3,1,0
447,JG Bracewell (NZ),1983-1990,53,50,2447,1884,33,2/3/2025,57.09,4.61,74.1,0,0
448,ST Gabriel (WI),2016-2019,25,25,1148,1134,33,3/17/2025,34.36,5.92,34.7,0,0
449,YK Pathan (INDIA),2008-2012,57,50,1490,1365,33,3/1/1949,41.36,5.49,45.1,0,0
450,E Schiferli (NL),2002-2013,30,30,1294,1008,33,4/23/2025,30.54,4.67,39.2,3,0
451,Shabbir Ahmed (PAK),1999-2005,32,32,1642,1192,33,3/1/1932,36.12,4.35,49.7,0,0
452,Sikander Bakht (PAK),1977-1989,27,27,1277,860,33,4/1/1934,26.06,4.04,38.6,1,0
453,EO Simons (SA),1994-1995,23,23,1212,810,33,4/1/1942,24.54,4,36.7,1,0
454,MP Stoinis (AUS),2015-2019,41,39,1414,1446,33,3/16/2025,43.81,6.13,42.8,0,0
455,SD Anurasiri (SL),1986-1994,45,43,2100,1464,32,3/1/1940,45.75,4.18,65.6,0,0
456,RD Berrington (SCOT),2008-2019,78,51,1394,1228,32,4/1/1940,38.37,5.28,43.5,1,0
457,PP Chawla (INDIA),2007-2011,25,25,1312,1117,32,4/23/2025,34.9,5.1,41,2,0
458,AC Dale (AUS),1997-2000,30,30,1596,979,32,3/18/2025,30.59,3.68,49.8,0,0
459,DS de Silva (SL),1975-1985,41,40,2076,1557,32,3/29/2025,48.65,4.5,64.8,0,0
460,MJ Hoggard (ENG),2001-2006,26,26,1306,1152,32,5/1/1949,36,5.29,40.8,0,1
461,AJ Hollioake (ENG),1996-1999,35,32,1208,1019,32,4/23/2025,31.84,5.06,37.7,2,0
462,Imran Haider (UAE),2017-2019,20,20,943,841,32,4/25/2025,26.28,5.35,29.4,2,0
463,JM Kemp (Afr/SA),2001-2007,85,48,1303,1015,32,3/20/2025,31.71,4.67,40.7,0,0
464,KTGD Prasad (SL),2006-2015,24,24,1015,976,32,3/17/2025,30.5,5.76,31.7,0,0
465,S Prasanna (SL),2011-2019,40,39,1945,1767,32,3/1/1932,55.21,5.45,60.7,0,0
466,Rizwan Cheema (CAN),2008-2013,33,32,1330,1095,32,3/25/2025,34.21,4.93,41.5,0,0
467,GB Troup (NZ),1976-1985,22,22,1180,791,32,4/19/2025,24.71,4.02,36.8,3,0
468,DL Underwood (ENG),1973-1982,26,24,1278,734,32,4/1/1944,22.93,3.44,39.9,1,0
469,BV Vitori (ZIM),2011-2018,24,24,1193,1149,32,5/20/2025,35.9,5.77,37.2,0,2
470,Arshad Ayub (INDIA),1987-1990,32,32,1769,1216,31,5/21/2025,39.22,4.12,57,0,1
471,JW Dernbach (ENG),2011-2013,24,24,1234,1308,31,4/1/1945,42.19,6.35,39.8,1,0
472,KS Lokuarachchi (SL),2003-2007,21,21,1011,725,31,4/1/1944,23.38,4.3,32.6,1,0
473,MJ Mason (NZ),2003-2010,26,25,1179,1024,31,4/24/2025,33.03,5.21,38,1,0
474,MM Sharma (INDIA),2013-2015,26,25,1121,1020,31,4/22/2025,32.9,5.45,36.1,1,0
475,Zahoor Khan (UAE),2017-2019,17,17,750,703,31,6/1/1934,22.67,5.62,24.1,0,1
476,Abdur Rehman (PAK),2006-2014,31,31,1624,1142,30,4/1/1948,38.06,4.21,54.1,1,0
477,CEH Croft (WI),1977-1981,19,19,1070,620,30,6/15/2025,20.66,3.47,35.6,0,1
478,GA Hick (ENG),1991-2001,120,47,1236,1026,30,5/1/1933,34.2,4.98,41.2,0,1
479,RK Illingworth (ENG),1991-1996,25,25,1501,1059,30,3/1/1933,35.3,4.23,50,0,0
480,AS Joseph (WI),2016-2019,22,21,1033,1107,30,5/1/1956,36.9,6.42,34.4,1,1
481,SI Mahmood (ENG),2004-2009,26,25,1197,1169,30,4/1/1950,38.96,5.85,39.9,1,0
482,DA Marillier (ZIM),2000-2003,48,35,1574,1235,30,4/1/1938,41.16,4.7,52.4,1,0
483,PR Adams (SA),1996-2003,24,23,1109,815,29,3/26/2025,28.1,4.4,38.2,0,0
484,RK Chauhan (INDIA),1993-1997,35,34,1634,1216,29,3/29/2025,41.93,4.46,56.3,0,0
485,MD Crowe (NZ),1982-1995,143,46,1296,954,29,2/9/2025,32.89,4.41,44.6,0,0
486,TBM de Leede (NL),1996-2007,29,29,1139,999,29,4/1/1935,34.44,5.26,39.2,1,0
487,Ehsan Khan (HKG),2016-2018,15,15,807,594,29,4/1/1933,20.48,4.41,27.8,1,0
488,Hasibul Hossain (BDESH),1995-2004,32,32,1375,1338,29,4/1/1956,46.13,5.83,47.4,1,0
489,BW Hilfenhaus (AUS),2007-2012,25,25,1216,1075,29,5/1/1933,37.06,5.3,41.9,0,1
490,NM Lyon (AUS),2012-2019,29,29,1626,1334,29,4/1/1944,46,4.92,56,1,0
491,Manzoor Elahi (PAK),1984-1995,54,49,1743,1262,29,3/22/2025,43.51,4.34,60.1,0,0
492,BA Murphy (ZIM),2000-2003,31,29,1422,1130,29,3/1/1943,38.96,4.76,49,0,0
493,D Pretorius (SA),2016-2019,22,22,1022,813,29,3/5/2025,28.03,4.77,35.2,0,0
494,FA Rose (WI),1997-2000,27,27,1326,1046,29,5/23/2025,36.06,4.73,45.7,0,1
495,RJ Sidebottom (ENG),2001-2010,25,25,1277,1039,29,3/19/2025,35.82,4.88,44,0,0
496,CM Wright (SCOT),2006-2009,20,19,861,663,29,4/29/2025,22.86,4.62,29.6,1,0
497,Ahmed Raza (UAE),2014-2019,28,28,1505,1011,28,4/1/1937,36.1,4.03,53.7,1,0
498,IG Butler (NZ),2002-2010,26,25,1109,1038,28,4/1/1944,37.07,5.61,39.6,1,0
499,WW Hinds (WI),1999-2010,119,34,945,837,28,3/24/2025,29.89,5.31,33.7,0,0
500,BMAJ Mendis (SL),2010-2019,58,49,1404,1204,28,3/15/2025,43,5.14,50.1,0,0
501,SPD Smith (AUS),2010-2019,118,39,1070,963,28,3/16/2025,34.39,5.4,38.2,0,0
502,DT Tiripano (ZIM),2014-2019,31,29,1220,1122,28,5/1/1963,40.07,5.51,43.5,0,1
503,Ata-ur-Rehman (PAK),1992-1996,30,30,1492,1186,27,3/27/2025,43.92,4.76,55.2,0,0
504,HK Bennett (NZ),2010-2017,16,15,718,621,27,4/16/2025,23,5.18,26.5,2,0
505,TK Curran (ENG),2017-2019,17,17,762,805,27,5/1/1935,29.81,6.33,28.2,1,1
506,PW Gunaratne (SL),2002-2003,23,23,959,908,27,4/1/1944,33.62,5.68,35.5,1,0
507,KM Jadhav (INDIA),2014-2019,71,42,1187,1020,27,3/23/2025,37.77,5.15,43.9,0,0
508,AY Karim (KENYA),1996-2003,34,33,1568,1114,27,5/1/1933,41.25,4.26,58,0,1
509,AJ McKay (NZ),2010-2012,19,19,926,800,27,4/1/1953,29.62,5.18,34.2,2,0
510,PJ Martin (ENG),1995-1998,20,20,1048,806,27,4/1/1944,29.85,4.61,38.8,1,0
511,RAP Nissanka (SL),2001-2003,23,23,997,857,27,4/12/2025,31.74,5.15,36.9,1,0
512,A Vala (PNG),2014-2019,27,26,1038,648,27,3/20/2025,24,3.74,38.4,0,0
513,CA Young (IRE),2014-2017,13,12,657,563,27,5/1/1946,20.85,5.14,24.3,0,1
514,PH Edmonds (ENG),1977-1987,29,27,1534,965,26,3/1/1939,37.11,3.77,59,0,0
515,AP Gurusinha (SL),1985-1996,147,55,1585,1354,26,2/25/2025,52.07,5.12,60.9,0,0
516,LN Onyango (KENYA),1996-2014,29,28,995,981,26,3/29/2025,37.73,5.91,38.2,0,0
517,AM Phangiso (SA),2013-2016,21,21,1085,829,26,3/1/1940,31.88,4.58,41.7,0,0
518,DN Crookes (SA),1994-2000,32,30,1221,1011,25,3/30/2025,40.44,4.96,48.8,0,0
519,GD Drummond (SCOT),2007-2013,30,29,1263,932,25,4/1/1941,37.28,4.42,50.5,1,0
520,LM Jongwe (ZIM),2014-2016,22,22,863,759,25,5/6/2025,30.36,5.27,34.5,0,1
521,A Kuruvilla (INDIA),1997-1997,25,25,1131,890,25,4/1/1943,35.6,4.72,45.2,1,0
522,D Langford-Smith (IRE),2006-2008,22,21,942,797,25,3/1/1932,31.88,5.07,37.6,0,0
523,SW Masakadza (ZIM),2010-2014,16,16,791,891,25,4/1/1946,35.64,6.75,31.6,3,0
524,G Miller (ENG),1977-1984,25,24,1268,813,25,3/27/2025,32.52,3.84,50.7,0,0
525,CA Soper (PNG),2016-2019,20,20,900,733,25,6/1/1941,29.32,4.88,36,0,1
526,K Srikkanth (INDIA),1981-1992,146,33,712,641,25,5/27/2025,25.64,5.4,28.4,0,2
527,AR White (IRE),2006-2014,61,35,869,688,25,4/1/1944,27.52,4.75,34.7,1,0
528,KIW Wijegunawardene (SL),1988-1992,26,25,1186,986,25,4/1/1949,39.44,4.98,47.4,1,0
529,Alok Kapali (BDESH),2002-2011,69,49,1452,1255,24,3/1/1949,52.29,5.18,60.5,0,0
530,Arafat Sunny (BDESH),2014-2015,16,16,830,600,24,4/27/2025,25,4.33,34.5,2,0
531,ID Blackwell (ENG),2002-2006,34,26,1230,877,24,3/26/2025,36.54,4.27,51.2,0,0
532,C de Grandhomme (NZ),2012-2019,38,38,1296,1046,24,3/26/2025,43.58,4.84,54,0,0
533,Harvinder Singh (INDIA),1997-2001,16,16,686,609,24,3/1/1944,25.37,5.32,28.5,0,0
534,RC Irani (ENG),1996-2003,31,30,1283,989,24,5/26/2025,41.2,4.62,53.4,1,1
535,PW Jarvis (ENG),1988-1993,16,16,879,672,24,5/1/1935,28,4.58,36.6,1,1
536,MBS Jonkman (NL),2006-2010,16,16,719,565,24,3/24/2025,23.54,4.71,29.9,0,0
537,JK Lever (ENG),1976-1982,22,22,1152,713,24,4/29/2025,29.7,3.71,48,1,0
538,Manjural Islam (BDESH),1999-2003,34,34,1591,1284,24,3/1/1937,53.5,4.84,66.2,0,0
539,Mohammad Saifuddin (BDESH),2017-2019,20,20,912,909,24,3/1/1945,37.87,5.98,38,0,0
540,Nasir Hossain (BDESH),2011-2018,65,43,1256,988,24,3/26/2025,41.16,4.71,52.3,0,0
541,MS Panesar (ENG),2007-2007,26,26,1308,980,24,3/25/2025,40.83,4.49,54.5,0,0
